chain,name,address,phone,hours,latitude,longitude,category_id,google_maps_url,type
BRAVO,Bravo Ramiz Qəmbərov küç.,"Bakıxanov qəsəbəsi, Ramiz Qəmbərov küçəsi 2566",+994 12 525 20 08,08:00 - 02:00,40.412334,49.954147,2236,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.412334,49.954147&travelmode=driver",Super
BRAVO,Bravo Sumqayıt,Üzeyir Hacıbəyov küçəsi 2,+994 12 525 20 08,08:00 - 02:00,40.573364,49.691227,2236,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.573364,49.691227&travelmode=driver",Super
BRAVO,Bravo Şövkət Məmmədova küç.,Şövkət Məmmədova küçəsi 2,+994 12 525 20 08,24/7,40.419731,49.846649,2236,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.419731,49.846649&travelmode=driver",Super
BRAVO,Bravo 20-ci sahə,Şahlar Allahverdiyev küçəsi 6B,+994 12 525 20 08,24/7,40.329807,49.818363,2236,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.329807,49.818363&travelmode=driver",Super
BRAVO,Bravo Lökbatan,"Lökbatan qəsəbəsi, 28 May küçəsi",+994 12 525 20 08,24/7,40.322475,49.732838,2236,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.322475,49.732838&travelmode=driver",Super
BRAVO,Bravo Mirəsədulla Mirqasımov küç.,Mirəsədulla Mirqasımov küçəsi,+994 12 525 20 08,07:00 - 23:00,40.395706,49.840885,2235,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.395706,49.840885&travelmode=driver",Market
BRAVO,Bravo Gəncə Mall,"Heydər Əliyev prospekti 433, Gəncə Mall 1-ci mərtəbə",+994 12 525 20 08,09:00 - 23:00,40.677006,46.359890,2235,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.677006,46.359890&travelmode=driver",Market
BRAVO,Bravo Şüvəlan,"Şüvəlan qəsəbəsi, Polis Akademiyasının yaxınlığı",+994 12 525 20 08,,40.486343,50.166718,2236,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.486343,50.166718&travelmode=driver",Super
BRAVO,Bravo Xırdalan,Heydər Əliyev prospekti,+994 12 525 20 08,07:00 - 02:00,40.450523,49.744705,2236,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.450523,49.744705&travelmode=driver",Super
BRAVO,"Bravo ""Park Azure"" yaşayış kompleksi",Afiyəddin Cəlilov küçəsi 27A,+994 12 525 22 28,07:00 - 02:00,40.379177,49.875526,2236,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.379177,49.875526&travelmode=driver",Super
BRAVO,Bravo Globus Center,Cəfər Cabbarlı küçəsi 609,+994 12 525 22 28,07:00 - 01:00,40.385128,49.828129,2236,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.385128,49.828129&travelmode=driver",Super
BRAVO,Bravo Dəniz Mall,"Neftçilər prospekti 26A, Dəniz Mall 1-ci mərtəbəsi",+994 12 525 20 08,09:00 - 23:00 (only in summer 09:00 - 02:00),40.358597,49.838146,2236,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.358597,49.838146&travelmode=driver",Super
BRAVO,"Bravo ""Sabah Residence"" yaşayış kompleksi",Xanlar Əliyev küçəsi 10,+994 12 525 20 08,07:00 - 23:00,40.350815,49.832806,2235,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.350815,49.832806&travelmode=driver",Market
BRAVO,"Bravo ""Bağçalı şəhər"" yaşayış kompleksi","Sumqayıt şəhəri, Sülh küçəsi 20B",+994 12 525 20 08,08:00 - 23:00,40.574696,49.643204,2235,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.574696,49.643204&travelmode=driver",Market
BRAVO,Bravo Zefir Mall,"Xarici Dairəvi Yol 8, Zefir Mall 1-ci mərtəbə",+994 12 525 20 08,09:00 - 23:00,40.376522,49.793922,2235,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.376522,49.793922&travelmode=driver",Market
BRAVO,"Bravo ""Şokolad Tower"" yaşayış kompleksi",Həsən bəy Zərdabi prospekti,+994 12 525 20 08,07:00 - 02:00,40.380783,49.809059,2235,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.380783,49.809059&travelmode=driver",Market
BRAVO,Bravo Əsəd Əhmədov küç.22,"Əsəd Əhmədov küçəsi, Xarici Dairəvi yol 22",+994 12 525 20 08,07:00 - 02:00,40.388050,49.787800,2235,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.388050,49.787800&travelmode=driver",Market
BRAVO,Bravo Şüvəlan Park,Almas İldırım küçəsi 68,+994 12 525 20 08,09:00 - 23:00 (only in summer 09:00 - 00:00),40.484509,50.183918,2235,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.484509,50.183918&travelmode=driver",Market
BRAVO,Bravo Gəncə Avtovağzal,Gəncə-Şəmkir şossesi sağ tərəfi,+994 12 525 20 08,08:00 - 23:00,40.701084,46.321404,2235,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.701084,46.321404&travelmode=driver",Market
BRAVO,Bravo Amburan Mall,"Bilgəh qəsəbəsi, Amburan Mall 1-ci mərtəbəsi",+994 12 525 20 08,09:00 - 23:00 (only in summer 24/7),40.588303,50.058319,2235,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.588303,50.058319&travelmode=driver",Market
BRAVO,"Bravo ""Şərifzadə Center"" yaşayış kompleksi",Abbas Mirzə Şərifzadə küçəsi 380A,+994 12 525 20 08,07:00 - 02:00,40.383671,49.804050,2236,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.383671,49.804050&travelmode=driver",Super
BRAVO,Bravo Mir Cəlal küç.,"4-cü mkr, Mir Cəlal küçəsi 2A",+994 12 404 04 80,07:00-23:00,40.412987,49.804237,2235,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.412987,49.804237&travelmode=driver",Market
BRAVO,Bravo Səməd Vurğun küç.,Səməd Vurğun küçəsi,+994 12 525 20 08,07:00 - 02:00,40.386280,49.837585,2236,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.386280,49.837585&travelmode=driver",Super
BRAVO,Bravo A.M.Şərifzadə küç.,"Abbas Mirzə Şərifzadə Küçəsi 231-233, 2 saylı Bakı Tibb kollecinin yaxınlığında",+994 12 525 20 08,07:00 - 02:00,40.398560,49.801273,2235,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.398560,49.801273&travelmode=driver",Market
BRAVO,Bravo Qış Parkı,"Məhəmməd Füzuli küçəsi, Qış parkı ilə üzbəüz",+994 12 525 20 08,24/7,40.376831,49.835712,2236,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.376831,49.835712&travelmode=driver",Super
BRAVO,Bravo Babək pr.,"Babək prospekti 94, Sərhədçi İdman kompleksinin yaxınlığı",+994 12 404 04 80,07:00 - 02:00,40.394787,49.963158,2235,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.394787,49.963158&travelmode=driver",Market
BRAVO,"Bravo ""Qəsr"" yaşayış kompleksi","Masazır qəsəbəsi, Əliağa Vahid küçəsi 281",+994 12 525 20 08,08:00 - 23:00,40.484016,49.757584,2235,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.484016,49.757584&travelmode=driver",Market
BRAVO,Bravo Azadlıq pr.,"Nərimanov rayonu, Azadlıq prospekti 145",+994 12 404 04 80,24/7,40.401787,49.837296,2236,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.401787,49.837296&travelmode=driver",Super
BRAVO,Bravo İstanbul Evləri,"Binəqədi rayonu, Əcəmi Naxçıvani küçəsi 39L",+994 12 404 04 80,07:00 - 02:00,40.416210,49.840031,2235,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.416210,49.840031&travelmode=driver",Market
BRAVO,Bravo Fətəli xan Xoyski küç.,"Fətəli xan Xoyski küçəsi, 5 №-li xəstəxana yaxınlığı",+994 12 525 20 08,24/7,40.403156,49.864838,2236,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.403156,49.864838&travelmode=driver",Super
BRAVO,"Bravo ""Renessance Palace"" yaşayış kompleksi",Zahid Xəlilov Küçəsi 576,+994 12 525 20 08,07:00 - 02:00,40.384518,49.812393,2235,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.384518,49.812393&travelmode=driver",Market
BRAVO,"Bravo ""Park Xətai"" yaşayış kompleksi",Gəncə prospekti 2942A,+994 12 525 20 08,07:00 - 02:00,40.365807,49.959637,2235,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.365807,49.959637&travelmode=driver",Market
BRAVO,"Bravo ""Whitestone"" yaşayış kompleksi",Qarabağ küçəsi 68,+994 12 525 20 08,07:00 - 02:00,40.391796,49.860645,2235,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.391796,49.860645&travelmode=driver",Market
BRAVO,"Bravo ""Roseville"" yaşayış kompleksi",Kazım Kazımzadə küçəsi 30,+994 12 525 20 08,08:00 - 23:00,40.390942,49.849545,2235,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.390942,49.849545&travelmode=driver",Market
BRAVO,Bravo Sabit Orucov küç.,Sabit Orucov küçəsi 13,+994 12 525 20 08,07:00 - 23:00,40.380573,49.866737,2235,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.380573,49.866737&travelmode=driver",Market
BRAVO,"Bravo Yasamal ""Asan Xidmət""",Abbas Mirzə Şərifzadə küçəsi 66,+994 12 525 20 08,07:00 - 23:00,40.378220,49.804775,2235,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.378220,49.804775&travelmode=driver",Market
BRAVO,Bravo Bakıxanov Mall,"Bakıxanov qəsəbəsi, Yavər Əliyev küçəsi 132",+994 12 525 20 08,08:00 - 23:00,40.432003,49.954494,2235,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.432003,49.954494&travelmode=driver",Market
BRAVO,Bravo Elşən Süleymanov küç.,Elşən Süleymanov küçəsi 137A,+994 12 525 20 08,08:00 - 02:00,40.409325,49.956383,2238,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.409325,49.956383&travelmode=driver",Ekspres
BRAVO,Bravo Yavər Əliyev küç.,Yavər Əliyev küçəsi 10,+994 12 525 20 08,08:00 - 23:00,40.437290,49.959236,2235,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.437290,49.959236&travelmode=driver",Market
BRAVO,Bravo Təbriz küç.,Təbriz küçəsi 41,+994 12 525 20 08,06:00 - 02:00,40.393024,49.857925,2235,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.393024,49.857925&travelmode=driver",Market
BRAVO,Bravo Bilgəh,"Nardaran qəsəbəsi, Azərbaycan Qadını küçəsi",+994 12 525 20 08,09:00 - 23:00 (only in summer 24/7),40.554775,50.022442,2235,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.554775,50.022442&travelmode=driver",Market
BRAVO,Bravo Adil İsgəndərov küç.,"Gəncə şəhəri, Adil İsgəndərov küçəsi 2",+994 12 525 20 08,24/7,40.677341,46.371674,2235,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.677341,46.371674&travelmode=driver",Market
BRAVO,Bravo Adil Məmmədov küç.,Adil Məmmədov küçəsi 42C,+994 12 525 20 08,08:00 - 23:00,40.421795,49.809044,2235,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.421795,49.809044&travelmode=driver",Market
BRAVO,Bravo Xəqani küç.,Xaqani küçəsi 26/32,+994 12 525 20 08,07:00-02:00,40.374973,49.850178,2238,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.374973,49.850178&travelmode=driver",Ekspres
BRAVO,Bravo Bülbül küç.,Bülbül prospekti 18,+994 12 525 20 08,24/7,40.374413,49.843643,2238,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.374413,49.843643&travelmode=driver",Ekspres
BRAVO,"Bravo ""Life Center"" yaşayış kompleksi","Nərimanov rayonu, Əhməd Rəcəbli prospekti",+994 12 525 20 08,07:00 - 02:00,40.403027,49.867691,2238,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.403027,49.867691&travelmode=driver",Ekspres
BRAVO,Bravo Sabunçu,"Sabunçu qəsəbəsi, №3 xəstəxana yaxınlığı",+994 12 525 20 08,07:00 - 00:00,40.443058,49.942692,2238,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.443058,49.942692&travelmode=driver",Ekspres
BRAVO,"Bravo ""Rahatlıq məkanı"" yaşayış kompleksi",Əlif Hacıyev küçəsi,+994 12 525 20 08,07:00 - 02:00,40.416355,49.933159,2235,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.416355,49.933159&travelmode=driver",Market
BRAVO,Bravo Axundov parkı,Əhməd Cavad küçəsi 3,+994 12 525 20 08,07:00-07:00,40.368645,49.830395,2238,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.368645,49.830395&travelmode=driver",Ekspres
BRAVO,"Bravo ""Azinko"" yaşayış kompleksi",Əliyar Əliyev küçəsi 26,+994 12 525 20 08,07:00 - 02:00,40.406548,49.876183,2238,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.406548,49.876183&travelmode=driver",Ekspres
BRAVO,Bravo M.K.Atatürk pr.,Mustafa Kamal Atatürk prospekti 27,+994 12 525 20 08,24/7,40.408398,49.847549,2238,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.408398,49.847549&travelmode=driver",Ekspres
BRAVO,"Bravo ""Bakı Tennis Akademiyası""","8-ci mkr, İbrahimpaşa Dadaşov küçəsi",+994 12 525 20 08,07:00 - 02:00,40.422466,49.842594,2238,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.422466,49.842594&travelmode=driver",Ekspres
BRAVO,Bravo Məhəmməd Xiyabani küç.,Məhəmməd Xiyabani küçəsi 202A,+994 12 525 20 08,07:00 - 00:00,40.399067,49.792599,2238,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.399067,49.792599&travelmode=driver",Ekspres
BRAVO,Bravo Sumqayıt Dəmiryol st.,Sumqayıt Dəmiryolu stanstiyası,+994 12 525 20 08,06:30 - 00:00,40.561970,49.681252,2238,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.561970,49.681252&travelmode=driver",Ekspres
BRAVO,Bravo Hüseyn Seyidzadə küç.,Hüseyn Seyidzadə küçəsi 56,+994 12 525 20 08,07:00 - 23:00,40.415878,49.819038,2238,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.415878,49.819038&travelmode=driver",Ekspres
BRAVO,Bravo Xalqlar Dostluğu m/s,Bəhruz Nuriyev küçəsi 2383,+994 12 525 20 08,07:00 - 00:00,40.402592,49.955204,2238,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.402592,49.955204&travelmode=driver",Ekspres
BRAVO,Bravo Cəmşid Naxçıvanski küç.,Cəmşid Naxçıvanski küçəsi 51,+994 12 525 20 08,00:00 - 00:00,40.406052,49.949257,2238,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.406052,49.949257&travelmode=driver",Ekspres
BRAVO,Bravo Binəqədi,"Binəqədi rayonu, Xarici Dairəvi küçəsi 16C",+994 12 525 20 08,08:00 -23:00,40.430470,49.850700,2238,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.430470,49.850700&travelmode=driver",Ekspres
BRAVO,Bravo Gəncə Dəmiryol st.,Zülfü Hacıyev küçəsi 8,+994 12 525 20 08,08:00 - 22:00,40.713882,46.367138,2238,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.713882,46.367138&travelmode=driver",Ekspres
BRAVO,Bravo Sabunçu Dəmiryol st.,Əsildar Məmmədəliyev küçəsi,+994 12 525 20 08,07:00 - 23:00,40.446301,49.946194,2238,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.446301,49.946194&travelmode=driver",Ekspres
BRAVO,Bravo Gəncə pr.,"Əhmədli qəsəbəsi, Gəncə prospekti",+994 12 525 20 08,07:00 - 23:00,40.358143,49.961662,2238,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.358143,49.961662&travelmode=driver",Ekspres
BRAVO,Bravo Əbdülvahab Salamzadə küç.,Əbdülvahab Salamzadə küçəsi 7,+994 12 525 20 08,07:00 - 02:00,40.393284,49.810108,2238,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.393284,49.810108&travelmode=driver",Ekspres
BRAVO,Bravo Zahid Xəlilov küç.,Zahid Xəlilov küçəsi 568,+994 12 525 20 08,07:00 - 02:00,40.379364,49.811714,2238,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.379364,49.811714&travelmode=driver",Ekspres
BRAVO,"Bravo ""Rifah Plaza"" yaşayış kompleksi",Mirəsədulla Mirqasımov küçəsi 8,+994 12 525 20 08,07:00 - 00:00,40.394775,49.838371,2238,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.394775,49.838371&travelmode=driver",Ekspres
BRAVO,Bravo 20 Yanvar küç.,"Nəsimi rayonu, 20 Yanvar Küçəsi",+994 12 525 20 08,07:00 - 23:00,40.412437,49.809032,2238,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.412437,49.809032&travelmode=driver",Ekspres
BRAVO,Bravo Sahil m/s,Xəqani küçəsi 21,+994 12 525 20 08,07:00 - 02:00,40.373371,49.844433,2238,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.373371,49.844433&travelmode=driver",Ekspres
BRAVO,Bravo Ceyhun Hacıbəyli küç.,Ceyhun Hacıbəyli küçəsi 8,+994 12 525 20 08,07:00 - 02:00,40.385174,49.848789,2238,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.385174,49.848789&travelmode=driver",Ekspres
BRAVO,Bravo Svetlana Məmmədova küç.,Svetlana Məmmədova küçəsi 122,+994 12 525 20 08,07:00 - 02:00,40.424446,49.823261,2238,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.424446,49.823261&travelmode=driver",Ekspres
BRAVO,"Bravo ""Park Bayıl"" yaşayış kompleksi",Qurban Abbasov küçəsi 27,+994 12 525 20 08,07:00 - 23:00,40.344589,49.838936,2238,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.344589,49.838936&travelmode=driver",Ekspres
BRAVO,"Bravo ""Sea Breeze"" yaşayış kompleksi","Nardaran qəsəbəsi, ""Sea Breeze"" yaşayış kompleksi",+994 12 525 20 08,24/7,40.587234,49.985023,2238,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.587234,49.985023&travelmode=driver",Ekspres
BRAVO,Bravo 20 Yanvar m/s,Həsən bəy Zərdabi prospekti 811,+994 12 525 20 08,07:00 - 23:00,40.403976,49.806622,2238,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.403976,49.806622&travelmode=driver",Ekspres
BRAVO,Bravo Azərbaycan pr.,Azərbaycan prospekti 23,+994 12 525 20 08,07:00 - 00:00,40.372826,49.832901,2238,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.372826,49.832901&travelmode=driver",Ekspres
BRAVO,Bravo Əliəşrəf Əlizadə küç.,Əliəşrəf Əlizadə küçəsi 65,+994 12 525 20 08,07:00 - 23:00,40.411240,49.870834,2238,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.411240,49.870834&travelmode=driver",Ekspres
BRAVO,Bravo Cavadxan küç.,Cavadxan küçəsi 4A,+994 12 525 20 08,07:00 - 23:00,40.419746,49.818203,2238,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.419746,49.818203&travelmode=driver",Ekspres
BRAVO,Bravo Bəşir Səfəroğlu küç.,Təbriz Xəlilbəyli küçəsi 31A,+994 12 525 20 08,24/7,40.373669,49.833820,2238,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.373669,49.833820&travelmode=driver",Ekspres
BRAVO,Bravo Bəkir Çobanzadə küç.,Bəkir Çobanzada küçəsi 46A,+994 12 525 20 08,07:00 - 23:00,40.411163,49.931221,2238,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.411163,49.931221&travelmode=driver",Ekspres
BRAVO,"Bravo ""Park City"" yaşayış kompleksi",Rüstəm Rüstəmov küçəsi 72A,+994 12 525 20 08,08:00 - 22:00,40.410393,49.950638,2238,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.410393,49.950638&travelmode=driver",Ekspres
BRAVO,Bravo Akim Abbasov küç.,General Akim Abbasov küçəsi 1,+994 12 525 20 08,07:00 - 00:00,40.385593,49.804523,2238,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.385593,49.804523&travelmode=driver",Ekspres
BRAVO,Bravo Sabit Rəhman küç.,Sabit Rəhman küçəsi 82B,+994 12 525 20 08,07:00 - 23:00,40.399803,49.833710,2238,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.399803,49.833710&travelmode=driver",Ekspres
BRAVO,Bravo Məhəmməd Hadi küç. 136,Məhəmməd Hadi küçəsi 136A,+994 12 525 20 08,07:00 - 23:00,40.390984,49.953701,2238,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.390984,49.953701&travelmode=driver",Ekspres
BRAVO,"Bravo ""Çinar Park"" yaşayış kompleksi",Ziya Bünyadov prospekti 1965,+994 12 525 20 08,07:00 - 23:00,40.415352,49.857815,2238,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.415352,49.857815&travelmode=driver",Ekspres
BRAVO,Bravo M.F.Axundov küç.,Mirzə Fətəli Axundov küçəsi 179,+994 12 525 20 08,08:00 - 02:00,40.383011,49.825718,2238,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.383011,49.825718&travelmode=driver",Ekspres
BRAVO,Bravo Nəsimi küç.,"Nizami rayonu, Nəsimi küçəsi 214",+994 12 525 20 08,07:00 - 23:00,40.414333,49.945320,2238,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.414333,49.945320&travelmode=driver",Ekspres
BRAVO,Bravo Süleyman Vəzirov küç.,Xocalı Prospekti 29,+994 12 525 20 08,07:00 - 02:00,40.383778,49.870468,2238,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.383778,49.870468&travelmode=driver",Ekspres
BRAVO,Bravo Səttar Bəhlulzadə küç.,Səttar Bəhlulzadə küçəsi 1,+994 12 525 20 08,07:00 - 00:00,40.413254,49.837021,2238,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.413254,49.837021&travelmode=driver",Ekspres
BRAVO,Bravo A.Bakıxanov küç.,Abbasqulu ağa Bakıxanov küçəsi 35-37,+994 12 525 20 08,07:00 - 23:00,40.390858,49.845531,2238,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.390858,49.845531&travelmode=driver",Ekspres
BRAVO,Bravo S.Ə.Şirvani küç.,Seyid Əzim Şirvani küçəsi 29,+994 12 525 20 08,07:00 - 00:00,40.392990,49.959721,2238,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.392990,49.959721&travelmode=driver",Ekspres
BRAVO,Bravo Xan Şuşinski küç.,Xan Şuşinski küçəsi,+994 12 525 20 08,07:00 - 00:00,40.398853,49.836044,2238,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.398853,49.836044&travelmode=driver",Ekspres
BRAVO,"Bravo ""Gülüstan Residence"" yaşayış kompleksi",Bülbül prospekti 60,+994 12 525 20 08,07:00 - 00:00,40.380642,49.841648,2238,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.380642,49.841648&travelmode=driver",Ekspres
BRAVO,Bravo Cəlil Məmmədquluzadə küç.,Cəlil Məmmədquluzadə küçəsi 998,+994 12 525 20 08,07:00 - 23:00,40.395691,49.829384,2238,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.395691,49.829384&travelmode=driver",Ekspres
BRAVO,Bravo İbrahimpaşa Dadaşov küç.,İbrahimpaşa Dadaşov küçəsi 57,+994 12 525 20 08,07:00 - 23:00,40.411991,49.843002,2238,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.411991,49.843002&travelmode=driver",Ekspres
BRAVO,Bravo A.M.Şərifzadə küç. 301,Abbas Mirzə Şərifzadə küçəsi 301A,+994 12 525 20 08,07:00 - 23:00,40.391216,49.802288,2238,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.391216,49.802288&travelmode=driver",Ekspres
BRAVO,Bravo Həzi Aslanov m/s,Məhəmməd Hadi küçəsi 76,+994 12 525 20 08,07:00 - 02:00,40.373547,49.953789,2238,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.373547,49.953789&travelmode=driver",Ekspres
BRAVO,Bravo Hüseyn Cavid pr.,Hüseyn Cavid prospekti 55,+994 12 525 20 08,07:00 - 00:00,40.377781,49.815750,2238,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.377781,49.815750&travelmode=driver",Ekspres
BRAVO,"Bravo ""Ağ şəhər"" yaşayış kompleksi",Xəqani Rüstəmov küçəsi 23,+994 12 525 20 08,07:00 - 23:00,40.382687,49.880829,2238,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.382687,49.880829&travelmode=driver",Ekspres
BRAVO,Bravo Zərifə Əliyeva küç.,Zərifə Əliyeva prospekti 55,+994 12 525 20 08,07:00 - 00:00,40.375481,49.857346,2238,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.375481,49.857346&travelmode=driver",Ekspres
